Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
,TRUE,TRUE,5 Arriving,Pending,Val Vista Storage,Wentworth,,15%,02/01/26,12,"$13,000,000",02/01/27,Gilbert,Arizona,Storage,5 Acres - 113K SF (5) Buildings,Brian,,,,,,,,,"$1,950,000","$162,500",366,0%,0,$0,335,"1,784,836",31,"$165,164",
,TRUE,TRUE,5.5 Active Precon/DB,Mid November,Ak-Chin Medical Suites - PRC TI,Ak-Chin Indian Community,SPS+ Architects,100%,02/02/26,4,"$823,203",06/02/26,Maricopa,Arizona,,PRC TI,Brian,,TS,TS,N/A,,Con.,,,"$823,203","$205,801",121,0%,0,$0,121,"823,203",0,$0,
,TRUE,,5 Arriving,Pending,Ranch & Ironwood - Shops A,Diversified Partners,,10%,03/01/26,7,"$3,000,000",10/01/26,Queen Creek,Arizona,Retail,"10,864SF Retail Building and Site",Adam,,,,,,,,,"$300,000","$42,857",215,0%,0,$0,215,"300,000",0,$0,
,TRUE,,5 Arriving,Pending,Pima Center Storage,Wentworth,,1%,05/01/26,14,"$12,000,000",07/01/27,Scottsdale,Arizona,Storage,3 Story Storage,Brian,,AT,AT,N/A,,Con.,,,"$120,000","$8,571",427,0%,0,$0,246,"69,133",181,"$50,867",
,,,5.1 Arriving not yet show on Est. Sheet,,Andretti Kart Racing FEC - Scotstdale,Andretti Kart Racing,,1%,01/01/26,12,"$25,000,000",01/01/27,Gilbert,Arizona,Entertainment,90k SF indoor kart racing with site,Melinda,,JF,KC,SH,NR,Con.,,Duration,"$250,000","$20,833",366,0%,0,$0,366,"250,000",0,$0,
,,,5.1 Arriving not yet show on Est. Sheet,Pending,Arbor Phase 3 Office,George Oliver,,1%,08/01/26,12,"$22,000,000",08/01/27,Tempe,Arizona,Office,3 Story Ground Up Office Bulding,Mike,,,,,,,,,"$220,000","$18,333",366,0%,0,$0,154,"92,568",212,"$127,432",
,,,5.1 Arriving not yet show on Est. Sheet,07/01/24,Ashley Furniture - Glendale,HMC,,5%,01/01/26,2,"$537,163",03/01/26,Glendale,Arizona,Demo,Demo Existing Mezz at Glendale Store,Melinda,,JF,JF/CH,N/A,,Con.,N/A,,"$26,858","$13,429",60,0%,0,$0,60,"26,858",0,$0,
,,,5.1 Arriving not yet show on Est. Sheet,Pending,Lot 200 - S Oregon,,,1%,01/01/26,8,$0,09/01/26,Phoenix,Arizona,,Armstrong Hospitality - RR,Brian,,,,,,Con.,,,$0,$0,244,0%,0,$0,244,0,0,$0,
,TRUE,,5.1 Arriving not yet show on Est. Sheet,,TA Travel Centers - Coalinga,KD Shegill,,1%,01/06/25,8,"$20,000,000",09/06/25,Coalinga,California,Travel Center TI,Ground Up TA Travel Center,Melinda,,,,,,Neg.,N/A,,"$200,000","$25,000",244,100%,244,"$200,000",0,0,0,$0,
,,,5.1 Arriving not yet show on Est. Sheet,,Uptown Alley Water Park/Splash,Uptown Alley,,5%,06/01/26,8,"$4,000,000",02/01/27,Surprise,Arizona,Entertainment,,Adam,,,,,,,,,"$200,000","$25,000",246,0%,0,$0,215,"174,797",31,"$25,203",
